							Percentage Noise						
316	stok	ecoli	0.34107016	0.432823699	0.53684237	0.653126171	0.781675103	0.922489166	1.07556836	1.240912686	1.418522142	1.608396729	1.810536447
316	stok	cace	0.344872789	0.437141495	0.541675333	0.658474301	0.7875384	0.92886763	1.082461991	1.248321484	1.426446107	1.616835861	1.819490746
316	stok	linn	0.330714925	0.421050111	0.523650428	0.638515876	0.765646454	0.905042164	1.056703005	1.220628977	1.39682008	1.585276314	1.785997678
316	stok	mthe	0.06138571	0.062922657	0.076724734	0.102791942	0.141124281	0.191721751	0.254584353	0.329712085	0.417104948	0.516762942	0.628686067
316	stok	ccre	0.402572439	0.502320931	0.614334555	0.73861331	0.875157195	1.023966212	1.185040359	1.358379638	1.543984048	1.741853588	1.95198826
316	stok	buch	0.390926752	0.489213047	0.599764474	0.722581031	0.857662719	1.005009538	1.164621488	1.33649857	1.520640782	1.717048125	1.925720599
316	stok	synecho	0.418945424	0.520712933	0.634745573	0.761043344	0.899606245	1.050434278	1.213527442	1.388885737	1.576509163	1.77639772	1.988551407
316	stok	mtub	0.48682024	0.596549819	0.71854453	0.852804371	0.999329343	1.158119446	1.32917468	1.512495046	1.708080542	1.915931169	2.136046927
316	stok	saur_n315	0.332177173	0.422714041	0.525516041	0.640583171	0.767915432	0.907512824	1.059375347	1.223503002	1.399895787	1.588553703	1.78947675
316	stok	mgen	0.671367294	0.800217241	0.94133232	1.09471253	1.26035787	1.438268342	1.628443944	1.830884678	2.045590543	2.272561538	2.511797665
316	stok	mlot	0.377057594	0.473572591	0.58235272	0.70339798	0.83670837	0.982283892	1.140124544	1.310230328	1.492601243	1.687237288	1.894138465
316	stok	bmel	0.38097891	0.477998113	0.587282448	0.708831914	0.84264651	0.988726238	1.147071096	1.317681086	1.500556207	1.695696458	1.903101841
316	stok	ssol	6.77E-06	0.005735972	0.023730304	0.053989766	0.09651436	0.151304085	0.21835894	0.297678927	0.389264045	0.493114293	0.609229673
316	stok	rpxx	0.432182226	0.535552233	0.651187371	0.77908764	0.91925304	1.071683571	1.236379233	1.413340026	1.60256595	1.804057005	2.017813191
